province,year,month,ndvi,evi
Khost,2020,6,0.29080297305296593,0.17371640767902125
Paktika,2020,6,0.15455356082221877,0.10719175241095122
Daykundi,2020,6,0.17944523855236438,0.12611520650807093
Panjsher,2020,6,0.17105833457355857,0.10026003378343072
Parwan,2020,6,0.21403614757016579,0.1382375820008475
Uruzgan,2020,6,0.1681874832608684,0.12623159017029537
Badakhshan,2020,6,0.18373511596617884,0.10670202816861424
Badghis,2020,6,0.18822716310094317,0.1403693174160263
Baghlan,2020,6,0.218388118978758,0.1488254805946152
Balkh,2020,6,0.13847931065145486,0.1087923749811947
Bamyan,2020,6,0.19884786839648533,0.14379294643110402
Farah,2020,6,0.11094830811056294,0.08258611253135018
Faryab,2020,6,0.1868596710442779,0.13726252108806458
Ghazni,2020,6,0.1872807109738357,0.141094655259281
Ghor,2020,6,0.19410851747934682,0.14037131002495437
Hilmand,2020,6,0.11109301643828759,0.0827891272545094
Hirat,2020,6,0.15672490264659078,0.11399813690106292
Jawzjan,2020,6,0.13118853748983356,0.10023566385265123
Kabul,2020,6,0.20546507403924485,0.146377878602363
Kandahar,2020,6,0.12400620199206068,0.09374255755140086
Kapisa,2020,6,0.2530304765895666,0.16975874648182807
Kunar,2020,6,0.46108103036712167,0.24773765778301907
Kunduz,2020,6,0.16585655801581622,0.12117036553863023
Laghman,2020,6,0.2643544120412963,0.1616508826427724
Logar,2020,6,0.1747559834348165,0.1197477469313773
Nangarhar,2020,6,0.23025204026663132,0.1464924275411977
Nimroz,2020,6,0.08274520102245352,0.06383917437300989
Nuristan,2020,6,0.25159242296307704,0.1261017734897144
Paktya,2020,6,0.25628821791495165,0.15649302000655058
Samangan,2020,6,0.209201459607178,0.16188598325838627
Sar-e-Pul,2020,6,0.21150861343143207,0.15425769137507994
Takhar,2020,6,0.20300068098811047,0.13938590542238238
Wardak,2020,6,0.21543954496377654,0.14727945202262435
Zabul,2020,6,0.14304852824324077,0.10949998097990583
Khost,2020,7,0.3208649230064526,0.19597808197670394
Paktika,2020,7,0.14328403822724203,0.09982799542087155
Daykundi,2020,7,0.1569462091751054,0.10903249283014786
Panjsher,2020,7,0.1968116975054069,0.11639906393468934
Parwan,2020,7,0.19684266196308955,0.1238121551478801
Uruzgan,2020,7,0.16224808860519271,0.12236101244059364
Badakhshan,2020,7,0.1838534992372961,0.1160218084397075
Badghis,2020,7,0.16963239460933513,0.12572673598800435
Baghlan,2020,7,0.2002180812577046,0.13663086872260663
Balkh,2020,7,0.13751227949723416,0.10862373551323844
Bamyan,2020,7,0.17738690539774904,0.1276150922923911
Farah,2020,7,0.10652514309584361,0.07865299322559122
Faryab,2020,7,0.167322877066124,0.12338597343277029
Ghazni,2020,7,0.16841482543497954,0.127614309368579
Ghor,2020,7,0.1684282587777211,0.12050482327697638
Hilmand,2020,7,0.11365827598775895,0.08481048465950636
Hirat,2020,7,0.14156139913287896,0.10254054348515547
Jawzjan,2020,7,0.1258836636841177,0.09806356518585857
Kabul,2020,7,0.18940892406781312,0.13192149100384856
Kandahar,2020,7,0.11945414465953746,0.08970421559026873
Kapisa,2020,7,0.25085045701776426,0.16871436487595884
Kunar,2020,7,0.47159338249784677,0.2771333981829457
Kunduz,2020,7,0.21225174955583215,0.15515985927015088
Laghman,2020,7,0.27572956888620825,0.17229610123577094
Logar,2020,7,0.1606506718959748,0.10886852898699673
Nangarhar,2020,7,0.2402036954097249,0.15931626376731498
Nimroz,2020,7,0.08005681703619782,0.06212816767087576
Nuristan,2020,7,0.2938715466711946,0.17020854973398442
Paktya,2020,7,0.24431704072689936,0.15067480450946638
Samangan,2020,7,0.17609103561193876,0.13551313106258325
Sar-e-Pul,2020,7,0.190487069817238,0.1389331491433163
Takhar,2020,7,0.19494157069188542,0.13380975555177146
Wardak,2020,7,0.19004580321828476,0.12673088025162724
Zabul,2020,7,0.1341070543997187,0.10260584099893276
Khost,2020,8,0.3183674639103386,0.19978661569039838
Paktika,2020,8,0.13741154965600602,0.09313952303389923
Daykundi,2020,8,0.1484086914312354,0.0995976251892984
Panjsher,2020,8,0.18850004551824165,0.10707992260030218
Parwan,2020,8,0.1828057330760565,0.11289232436895517
Uruzgan,2020,8,0.15970645278019294,0.11869106715875695
Badakhshan,2020,8,0.15860535922932673,0.093204138091658
Badghis,2020,8,0.15849355232362616,0.11765996375416328
Baghlan,2020,8,0.1796537731275377,0.12262743112683473
Balkh,2020,8,0.13346197692028375,0.10449651981702807
Bamyan,2020,8,0.15782312127216197,0.11115076450704159
Farah,2020,8,0.10641494958202465,0.07756173981816213
Faryab,2020,8,0.1568550849005173,0.11487448994156924
Ghazni,2020,8,0.15632901397989243,0.1156873655972336
Ghor,2020,8,0.15089975554640195,0.10548213261318065
Hilmand,2020,8,0.11809385185366568,0.08784303985445531
Hirat,2020,8,0.13573041408527,0.0966495443544866
Jawzjan,2020,8,0.12494239249560991,0.09628462889107688
Kabul,2020,8,0.1829404692463554,0.12328938387119986
Kandahar,2020,8,0.1203189939868014,0.08953716993036719
Kapisa,2020,8,0.26021728125333615,0.16926000189565807
Kunar,2020,8,0.4566427126944984,0.2362490784427588
Kunduz,2020,8,0.21160881812551866,0.15724563992469393
Laghman,2020,8,0.27684904967041374,0.16403831490950038
Logar,2020,8,0.15415635623553386,0.10201873482505755
Nangarhar,2020,8,0.2447120617248326,0.1567012655187104
Nimroz,2020,8,0.07873537345613173,0.061295486300196225
Nuristan,2020,8,0.28906978951726237,0.14757171152279178
Paktya,2020,8,0.2306988383810405,0.13988210893577543
Samangan,2020,8,0.1569982594015449,0.11936164018171193
